Agency,Bureau,website
Department of Health and Human Services,Health Resources and Services Administration,www.hrsa.gov
Department of Defense,Air Force,www.safcn.af.mil
Department of Commerce,USPTO,globaldossier-ui.uspto.gov
Department of Defense,Air Force,www.airman.af.mil
Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www.amputation.research.va.gov
Department of Housing and Urban Development,Web Master  Pulic Affair,archives.glb.hud.gov
Department of Defense,Air Force,www.bmtflightphotos.af.mil
Department of Defense,,www.metc.mil
Department of Defense,,usammda.health.mil
Department of Defense,Marine Corps,www.tbs.marines.mil
Department of the Interior,USGS-NWRC,www.jem.gov
Department of Defense,Air Force,www.dobbins.afrc.af.mil
Department of Energy,Lawrence Livermore National Laboratory,jlf.llnl.gov
Department of Defense,Army,skillbridge.osd.mil
Department of Defense,Air Force,www.5af.pacaf.af.mil
Department of Defense,Navy,www.nia.navy.mil
Department of Defense,Air Force,www.afsc.af.mil
Department of Defense,Air Force,www.182aw.ang.af.mil
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www.grc.nasa.gov
Department of Defense,Marine Corps,www.information.marines.mil
Department of Labor,Office of the Chief Information Officer,www.ecomp.dol.gov
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,aeronauticsprojects.arc.nasa.gov
Department of Health and Human Services,Office of the Secretary,www.remm.hhs.gov
General Services Administration,"GSA, IDI, ECAS II",www.gsaelibrary.gsa.gov
Department of Energy,Lawrence Livermore National Laboratory,controlbanding.llnl.gov
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www.bluemarble.nasa.gov
Department of Health and Human Services,Administration for Children and Families,www.fatherhood.gov
Department of Health and Human Services,Office of the Secretary,www.usphs.gov
Department of Health and Human Services,"National Cancer Institute, NIH",trainatnci.cancer.gov
Department of Defense,National Guard,wi.ng.mil
United States Postal Service,U.S. Postal Service,www.uspis.gov
Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www.benefits.va.gov
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www.sti.nasa.gov
Department of Energy,Lawrence Livermore National Laboratory,seaborg.llnl.gov
Department of the Treasury,Comptroller of the Currency,www.nationalbankhelp.gov
Department of Energy,Lawrence Livermore National Laboratory,water.llnl.gov
Department of Justice,Office of Justice Programs,www.ojp.gov
National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,lhea.gsfc.nasa.gov
U.S. Agency for International Development,M/CIO,www.usaid.gov
Department of Energy,Lawrence Livermore National Laboratory,bioresilience.llnl.gov
Department of Defense,,mrdc-npi.health.mil
Department of Defense,Air Force,afrba-portal.prod.azure.cce.af.mil
Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www.cadre.research.va.gov
Department of Defense,Air Force,www.185arw.ang.af.mil
Department of Transportation,Department of Transportation,mutcd-dr.fhwa.dot.gov
Department of State,Bureau of Global Public Affairs (GPA),www.foia.state.gov
Smithsonian Institution,Smithsonian Institution,www.itis.gov
Department of Defense,Air Force,www.315aw.afrc.af.mil
Farm Credit Administration,Office of Information Technology,www.fca.gov
Department of Transportation,National Highway Traffic Safety Administration,www.ems.gov
Department of Defense,,www.dodcui.mil
Department of Health and Human Services,National Institutes of Health,www.covid19.nih.gov
Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www.cindrr.research.va.gov
Department of Defense,Air Force,www.149fw.ang.af.mil
Department of Defense,Air Force,www.189aw.ang.af.mil
Department of Health and Human Services,U. S. Food and Drug Administration,www.access.fda.gov
Department of Health and Human Services,National Institutes of Health,kurage.nimh.nih.gov
Department of Defense,Air Force,www.jba.af.mil
Department of Health and Human Services,National Institutes of Health,www.profiles.nlm.nih.gov
Department of Health and Human Services,National Institutes of Health,www.prevention.nih.gov
Department of Defense,Air Force,www.arpc.afrc.af.mil
Department of Homeland Security,U.S. Customs and Border Protection,www.evus.gov
U.S. Department of Agriculture,U.S. Department of Agriculture,www.fns.usda.gov
Department of Energy,Lawrence Livermore National Laboratory,packaging.llnl.gov
Federal Election Commission,Federal Election Commission,www.fec.gov
Department of Defense,Army,wva.army.mil
Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www.hiv.va.gov
Department of Energy,Lawrence Livermore National Laboratory,nifuserguide.llnl.gov
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,www.samhsa.gov
Department of Labor,Office of the Chief Information Officer,dlhwc.dol.gov
U.S. Department of Agriculture,National Wildfire Coordinating Group,egp.wildfire.gov
Department of Defense,Army,www.swt.usace.army.mil
Department of Commerce,Census Bureau,www.xd.gov
Department of Energy,Sandia National Laboratories,ldesconsortium.sandia.gov
General Services Administration,"GSA,FAS,Technology Transformation Service",contdatasumviz_2.app.cloud.gov
Department of Defense,,www.whs.mil
Department of the Treasury,Comptroller of the Currency,www.helpwithmybank.gov
Department of Housing and Urban Development,Web Master  Pulic Affair,www.hud.gov
General Services Administration,"GSA,FAS,Technology Transformation Service",climate.data.gov
Federal Maritime Commission,Federal Maritime Commission,www.fmc.gov
Department of Defense,,www.jbmdl.jb.mil
Department of Defense,Air Force,www.33fw.af.mil
Department of Energy,Lawrence Livermore National Laboratory,nuclear-particle-physics.llnl.gov
Department of Defense,Air Force,www.10af.afrc.af.mil
Environmental Protection Agency,Office of Federal Sustainability,www.sustainability.gov
Department of Defense,Air Force,www.102iw.ang.af.mil
Department of Defense,Air Force,www.105aw.ang.af.mil
U.S. Department of Agriculture,"USDA, ARS, NAL",www.itap.gov
Department of Transportation,Department of Transportation,ops-dr.fhwa.dot.gov
Department of the Interior,Office of the Chief Information Officer,archive.revenuedata.doi.gov
Department of Defense,Army,madsciblog.tradoc.army.mil
Department of Defense,Air Force,www.ellsworth.af.mil
Department of Defense,Army,www.1stio.army.mil
Department of Homeland Security,Federal Law Enforcement Training Center,www.fleta.gov
Department of the Interior,Aviation Management Directorate,www.safecom.gov
Department of Defense,Navy,public.navsup.navy.mil
Department of Defense,Army,www.afsbeurope.army.mil
Department of Homeland Security,Federal Emergency Management Agency,www.fema.gov
Department of Defense,Army,www.ncoworldwide.army.mil
Department of Energy,National Renewable Energy Laboratory,atb-archive.nrel.gov
U.S. Department of Agriculture,USDA - Center for Nutrition Policy and Promotion,www.myplate.gov
Department of the Treasury,Comptroller of the Currency,comptrollerofthecurrency.gov
Department of Health and Human Services,Centers for Disease Control and Prevention,mpoxvaccine.cdc.gov
Department of the Treasury,Bureau of the Fiscal Service,patriotbonds.gov
Department of Defense,Air Force,www.419fw.afrc.af.mil
Administrative Office of the U.S. Courts,U.S. Courts,www.mssp.uscourts.gov
Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",www.collegedrinkingprevention.gov
Department of Defense,Space Force,www.patrick.spaceforce.mil
